"WT.GSM130365","WT.GSM130366","WT.GSM130367","KO.GSM130368","KO.GSM130369","KO.GSM130370"
2588.3,2338.9,2625.7,3110.1,3161.2,2931.6
322.6,367.9,314.3,528,503.7,561.8
970.6,1214.1,1045.1,1814.2,1697.4,1627.5
1863.3,1738.9,1808.8,1526.7,1479.6,1436.1
202.8,216.2,242.2,117.8,145,106.1
1284.6,1441.2,1170.8,1708,1961.4,1788.4
122.3,103.4,113,79.2,53.7,60.1
99.5,95.6,105.1,59.8,64,46.8
627.3,627,761.1,1095.3,937.1,955.9
1730.1,1943.5,1352.5,3747,4071.8,4179.8
4325,4598.4,4492.3,8957.3,8528.4,8529.7
1146.6,1244.1,1240.8,690.5,860.9,868.7
473.4,542.5,457.9,5010.2,5233.6,5293.4
235.3,191,230.5,125.8,108.4,81.6
1977.6,2105,2065.7,1438.7,1457.5,1518.7
716.4,719.7,728.2,275.9,244.5,298.8
1311.6,1343.3,1331,982.5,943.1,963.7
3947.9,4260.3,3689.1,6012.6,6327.1,6347.2
4292.1,3976.7,4439.6,3472.5,3080.3,3195.5
2312,2456.4,3495.5,7192.8,6478.4,6698.3
626.1,634.1,564.1,427.1,435.9,492.8
87,88.1,92.4,174.4,169.2,175.6
573.3,599.6,695.5,330.8,417.9,346.7
1251.8,1334.7,1286.2,2202.6,1961.2,2088.1
1133.3,1158.9,836.7,1621.9,1743.5,1822.3
1164.1,1332,1114.4,1655.6,1759.1,1626.7
7756.4,7870.3,8419.4,6191.6,5891.8,6381
1861.3,1849.4,1780.3,1571.6,1605.4,1537.2
1546.7,1497.5,1722.6,667,650.6,881.1
4414.3,4271.8,4062.9,3640.6,3306.2,3230.9
379.8,408.6,370.2,838.8,985,864.3
8218.3,7966.1,8442.3,13301.1,11903.6,11878
399,506.3,400.1,764.4,762,805.4
428.4,511.5,552.7,1094.9,982.1,962.6
1307.6,1127.4,1104.5,647.4,775.2,717.8
265.5,236.9,249.6,117.2,136.3,135.2
1833.5,1898.3,1986.6,2560.1,2417.6,2491.8
244.3,256.1,229.4,164.9,150.2,127
1152.6,1045.7,945.9,264,219.8,236.5
487.8,531.5,533.9,333.6,338.3,334.4
2139,2595.9,2309.7,7079,6507.9,7412.8
1536.2,1532.8,1754.9,1158.3,1136.4,986.3
81,75.2,79.9,61.1,58.5,60.9
225.6,222.4,227.8,38.8,75.8,46.2
802.7,661.5,641.5,1328,1373.6,1455.3
671.3,748.4,920.5,248.6,115.6,116.2
867.7,950.1,1085.1,99.1,155.6,134.3
276.9,292,286.4,544.9,624.5,580.4
1030,1147.3,1114.3,775.9,723.1,679.9
101.8,102.3,107,59.3,51.3,52.9
1186.2,1296.5,1290.7,1867.5,1862.9,1703.5
1687.9,1555.3,1706.2,2061.8,2152.4,2052.2
827,889.3,803.6,585,627.8,605.5
1072.7,1122.7,1141,926.7,861.3,915
4588.8,4636.2,4158.9,2183.3,2042.4,2113.4
1057.7,1089.4,945.1,497.5,666.6,577.2
3118.3,2876.1,3173.9,1317.4,1499,1579.1
7633.8,7597.9,7339.9,5290.5,5542.8,6060.1
60.8,57.8,45.2,6.8,19.6,8.9
